EmployeeID,Name,Department,JobRole,MonthlyIncome,OverTime,Attrition_Probability,Attrition_Risk_Level,EngagementScore,Engagement_Category,CurrentSkills,MissingSkills,SkillGapCount,UpskillingRecommendation
1,Employee #1,Sales,Sales Executive,5993.0,Yes,0.7231,HIGH,55.4,MEDIUM,"Salesforce, Excel, CRM Software","Negotiation, Communication, Lead Generation",3,Professional Skill Development: Negotiation; Professional Skill Development: Communication
2,Employee #2,Research & Development,Research Scientist,5130.0,No,0.0131,LOW,89.24,HIGH,"R, Data Analysis, Python","Statistics, Machine Learning, Lab Equipment",3,Professional Skill Development: Statistics; Applied Machine Learning & MLOps Specialization
4,Employee #4,Research & Development,Laboratory Technician,2090.0,Yes,0.5644,HIGH,87.94,HIGH,"Excel, Data Entry","Lab Safety, Sample Preparation, Quality Control",3,ISO Certified Laboratory Safety & Bio-hazard Compliance; Professional Skill Development: Sample Preparation
5,Employee #5,Research & Development,Research Scientist,2909.0,Yes,0.0796,LOW,77.42,HIGH,"Machine Learning, Statistics, Python, R","Data Analysis, Lab Equipment",2,Professional Skill Development: Data Analysis; Professional Skill Development: Lab Equipment
7,Employee #7,Research & Development,Laboratory Technician,3468.0,No,0.3412,MEDIUM,93.01,HIGH,"Sample Preparation, Quality Control, Lab Safety","Data Entry, Excel",2,Professional Skill Development: Data Entry; Professional Skill Development: Excel
8,Employee #8,Research & Development,Laboratory Technician,3068.0,No,0.079,LOW,55.51,MEDIUM,"Lab Safety, Excel, Quality Control","Sample Preparation, Data Entry",2,Professional Skill Development: Sample Preparation; Professional Skill Development: Data Entry
10,Employee #10,Research & Development,Laboratory Technician,2670.0,Yes,0.1031,LOW,77.01,HIGH,"Lab Safety, Sample Preparation","Quality Control, Data Entry, Excel",3,Six Sigma Quality Assurance & Process Improvement; Professional Skill Development: Data Entry
11,Employee #11,Research & Development,Laboratory Technician,2693.0,No,0.1356,LOW,64.53,MEDIUM,"Sample Preparation, Data Entry, Excel","Lab Safety, Quality Control",2,ISO Certified Laboratory Safety & Bio-hazard Compliance; Six Sigma Quality Assurance & Process Improvement
12,Employee #12,Research & Development,Manufacturing Director,9526.0,No,0.09,LOW,77.62,HIGH,"ERP, Lean Six Sigma","Supply Chain, Operations Management, Budgeting",3,Global Supply Chain Operations & Logistics Architecture; Professional Skill Development: Operations Management
13,Employee #13,Research & Development,Healthcare Representative,5237.0,No,0.0304,LOW,63.0,MEDIUM,"Customer Service, EMR Software, Communication","Patient Care, Medical Records",2,Professional Skill Development: Patient Care; Professional Skill Development: Medical Records
14,Employee #14,Research & Development,Laboratory Technician,2426.0,No,0.0486,LOW,68.53,MEDIUM,"Lab Safety, Sample Preparation","Quality Control, Data Entry, Excel",3,Six Sigma Quality Assurance & Process Improvement; Professional Skill Development: Data Entry
15,Employee #15,Research & Development,Laboratory Technician,4193.0,Yes,0.2675,MEDIUM,82.87,HIGH,"Excel, Data Entry, Lab Safety","Sample Preparation, Quality Control",2,Professional Skill Development: Sample Preparation; Six Sigma Quality Assurance & Process Improvement
16,Employee #16,Research & Development,Research Scientist,2911.0,No,0.1252,LOW,87.53,HIGH,"Python, Statistics, Lab Equipment","Data Analysis, R, Machine Learning",3,Professional Skill Development: Data Analysis; Statistical Computing & Data Visualization in R
18,Employee #18,Research & Development,Laboratory Technician,2661.0,No,0.06,LOW,87.98,HIGH,"Lab Safety, Data Entry, Sample Preparation","Quality Control, Excel",2,Six Sigma Quality Assurance & Process Improvement; Professional Skill Development: Excel
19,Employee #19,Research & Development,Laboratory Technician,2028.0,Yes,0.9217,HIGH,94.19,HIGH,"Quality Control, Lab Safety, Data Entry","Sample Preparation, Excel",2,Professional Skill Development: Sample Preparation; Professional Skill Development: Excel
20,Employee #20,Research & Development,Manufacturing Director,9980.0,No,0.0376,LOW,85.59,HIGH,"Lean Six Sigma, ERP, Operations Management, Supply Chain",Budgeting,1,Professional Skill Development: Budgeting
